"County","Facility Name","Grouping","Entry","Value"
"Citrus","Beverly Hills","Total Service Area Population","2020",11262
"Citrus","Beverly Hills","Total Service Area Population","2045",13499
"Citrus","Beverly Hills","Septic Population","2020",1323
"Citrus","Beverly Hills","Septic Population","2045",1323
"Citrus","Beverly Hills","Adjusted Service Area Population","2020",9939
"Citrus","Beverly Hills","Adjusted Service Area Population","2045",12176
"Citrus","Beverly Hills","Adjusted Service Area Population","2020-2045 Population Increase",2237
"Citrus","Beverly Hills","2020 Totals","Total WW Flows (MGD)",0.46
"Citrus","Beverly Hills","2020 Totals","Total Reuse (MGD)",0.46
"Citrus","Beverly Hills","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Beverly Hills","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Beverly Hills","2045 Projected Additional","WW Flow Projection (MGD)",0.16
"Citrus","Beverly Hills","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Beverly Hills","2045 Projected Totals","Total WW Flows (MGD)",0.62
"Citrus","Beverly Hills","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Beverly Hills","2045 Projected Totals","Total Reuse (MGD)",0.62
"Citrus","Beverly Hills","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.46
"Citrus","Citrus County - Brentwood","Total Service Area Population","2020",NA
"Citrus","Citrus County - Brentwood","Total Service Area Population","2045",NA
"Citrus","Citrus County - Brentwood","Septic Population","2020",NA
"Citrus","Citrus County - Brentwood","Septic Population","2045",NA
"Citrus","Citrus County - Brentwood","Adjusted Service Area Population","2020",NA
"Citrus","Citrus County - Brentwood","Adjusted Service Area Population","2045",NA
"Citrus","Citrus County - Brentwood","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Citrus","Citrus County - Brentwood","2020 Totals","Total WW Flows (MGD)",0.4
"Citrus","Citrus County - Brentwood","2020 Totals","Total Reuse (MGD)",0.4
"Citrus","Citrus County - Brentwood","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Brentwood","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Citrus County - Brentwood","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Citrus","Citrus County - Brentwood","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Brentwood","2045 Projected Totals","Total WW Flows (MGD)",0.4
"Citrus","Citrus County - Brentwood","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Brentwood","2045 Projected Totals","Total Reuse (MGD)",0.4
"Citrus","Citrus County - Brentwood","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.3
"Citrus","Citrus County - Meadowcrest","Total Service Area Population","2020",24874
"Citrus","Citrus County - Meadowcrest","Total Service Area Population","2045",30140
"Citrus","Citrus County - Meadowcrest","Septic Population","2020",7179
"Citrus","Citrus County - Meadowcrest","Septic Population","2045",7288
"Citrus","Citrus County - Meadowcrest","Adjusted Service Area Population","2020",17695
"Citrus","Citrus County - Meadowcrest","Adjusted Service Area Population","2045",22852
"Citrus","Citrus County - Meadowcrest","Adjusted Service Area Population","2020-2045 Population Increase",5157
"Citrus","Citrus County - Meadowcrest","2020 Totals","Total WW Flows (MGD)",0.7
"Citrus","Citrus County - Meadowcrest","2020 Totals","Total Reuse (MGD)",0.68
"Citrus","Citrus County - Meadowcrest","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Meadowcrest","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Citrus County - Meadowcrest","2045 Projected Additional","WW Flow Projection (MGD)",0.36
"Citrus","Citrus County - Meadowcrest","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Meadowcrest","2045 Projected Totals","Total WW Flows (MGD)",1.06
"Citrus","Citrus County - Meadowcrest","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Meadowcrest","2045 Projected Totals","Total Reuse (MGD)",1.03
"Citrus","Citrus County - Meadowcrest","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.77
"Citrus","Citrus County - Point O' Woods","Total Service Area Population","2020",749
"Citrus","Citrus County - Point O' Woods","Total Service Area Population","2045",825
"Citrus","Citrus County - Point O' Woods","Septic Population","2020",201
"Citrus","Citrus County - Point O' Woods","Septic Population","2045",201
"Citrus","Citrus County - Point O' Woods","Adjusted Service Area Population","2020",548
"Citrus","Citrus County - Point O' Woods","Adjusted Service Area Population","2045",624
"Citrus","Citrus County - Point O' Woods","Adjusted Service Area Population","2020-2045 Population Increase",76
"Citrus","Citrus County - Point O' Woods","2020 Totals","Total WW Flows (MGD)",0.02
"Citrus","Citrus County - Point O' Woods","2020 Totals","Total Reuse (MGD)",0.01
"Citrus","Citrus County - Point O' Woods","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Point O' Woods","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Citrus County - Point O' Woods","2045 Projected Additional","WW Flow Projection (MGD)",0.01
"Citrus","Citrus County - Point O' Woods","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Point O' Woods","2045 Projected Totals","Total WW Flows (MGD)",0.03
"Citrus","Citrus County - Point O' Woods","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Point O' Woods","2045 Projected Totals","Total Reuse (MGD)",0.02
