"County","Facility ID","Facility Name","Utility","Type","FlowMGD","Grouping"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Permitted Capacity",13.7,"Facility Information"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Total WW Flow",7.62,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Total Reuse",8.16,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Transfers In",0.74,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","WW Disposal",4.81,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Industrial",8.16,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Surface Water",4.81,"2020 Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","Deep Well Injection",NA,"2020 Disposal"
"Polk","FL0039772","Lakeland Glendale","Lakeland/TECO","IPR",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Permitted Capacity",0.75,"Facility Information"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Total WW Flow",0.3,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Total Reuse",0.28,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
